alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;360;Genetic Algorithm;4;Manhattan;OnlyWhenNoObstacles;Yes (6958ms );6958;775;13,0710678118655;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;660;Genetic Algorithm;4;Manhattan;OnlyWhenNoObstacles;Yes (11514ms );11514;748;9,4142135623731;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Euclidean;OnlyWhenNoObstacles;No;11052;838;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;884;Genetic Algorithm;4;Euclidean;OnlyWhenNoObstacles;Yes (9811ms );9811;754;12,0710678118655;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1;Genetic Algorithm;4;Euclidean;OnlyWhenNoObstacles;Yes (72ms );72;812;23,8994949366117;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Euclidean;OnlyWhenNoObstacles;No;11588;766;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;779;Genetic Algorithm;4;Euclidean;OnlyWhenNoObstacles;Yes (17091ms );17091;806;6,41421356237309;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Euclidean;OnlyWhenNoObstacles;No;21124;973;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;294;Genetic Algorithm;4;Euclidean;OnlyWhenNoObstacles;Yes (5727ms );5727;826;11,6568542494924;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;631;Genetic Algorithm;4;Euclidean;OnlyWhenNoObstacles;Yes (12613ms );12613;875;11;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Octile;OnlyWhenNoObstacles;No;10981;736;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;221;Genetic Algorithm;4;Octile;OnlyWhenNoObstacles;Yes (2903ms );2903;768;6,24264068711928;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Octile;OnlyWhenNoObstacles;No;10557;776;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;810;Genetic Algorithm;4;Octile;OnlyWhenNoObstacles;Yes (9138ms );9138;786;8,65685424949238;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1;Genetic Algorithm;4;Octile;OnlyWhenNoObstacles;Yes (71ms );71;831;23,3137084989848;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;4;Octile;OnlyWhenNoObstacles;No;20939;821;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1;Genetic Algorithm;4;Octile;OnlyWhenNoObstacles;Yes (61ms );61;794;21,8994949366117;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;245;Genetic Algorithm;4;Octile;OnlyWhenNoObstacles;Yes (4261ms );4261;819;4,41421356237309;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;5;Manhattan;OnlyWhenNoObstacles;No;11648;549;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;5;Manhattan;OnlyWhenNoObstacles;No;11852;544;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;5;Manhattan;OnlyWhenNoObstacles;No;10747;561;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;5;Manhattan;OnlyWhenNoObstacles;No;11373;505;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;533;Genetic Algorithm;5;Manhattan;OnlyWhenNoObstacles;Yes (19053ms );19053;1532;17,4142135623731;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;5;Manhattan;OnlyWhenNoObstacles;No;20676;1130;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;5;Manhattan;OnlyWhenNoObstacles;No;15666;608;-1;
